clause,section,page,source_pdf
Rent Authority to determine the revised rent in case of dispute.,s.,1,Model-Tenancy-Act-English-02_06_2021.pdf
Original tenancy agreement to be retained by landlord and tenant.,s.,1,Model-Tenancy-Act-English-02_06_2021.pdf
Rent and other charges payable and receipt for payment thereof.,s.,1,Model-Tenancy-Act-English-02_06_2021.pdf
Eviction and recovery of possession of premises by landlord.,s.,2,Model-Tenancy-Act-English-02_06_2021.pdf
Eviction and recovery of possession of premises in case of death of landlord.,s.,2,Model-Tenancy-Act-English-02_06_2021.pdf
Enhancement of rent in case of refusal by tenant to vacate.,s.,2,Model-Tenancy-Act-English-02_06_2021.pdf
Provisions regarding notice of giving up possession by tenant.,s.,2,Model-Tenancy-Act-English-02_06_2021.pdf
Procedure to be followed in Rent Court and Rent Tribunal.,s.,2,Model-Tenancy-Act-English-02_06_2021.pdf
"Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.",s.,3,Model-Tenancy-Act-English-02_06_2021.pdf
"THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.",section,4,Model-Tenancy-Act-English-02_06_2021.pdf
"(1) This Act may be called the (Name of State/Union territory) Short title, extent and Tenancy Act, 2020.",section,4,Model-Tenancy-Act-English-02_06_2021.pdf
"(a) “landlord”, whether called landowner or lessor or by any other name, means a person who receives or is entitled to receive, the rent of any premises, on his own account, if the premises were let to a tenant, and shall include –– (i) his successor-in-interest;",section,4,Model-Tenancy-Act-English-02_06_2021.pdf
"and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract;",section,4,Model-Tenancy-Act-English-02_06_2021.pdf
"(d) “premises” means any building or part of a building which is, or is intended to be, let on rent for the purpose of residencial or commercial use except for hotel, lodging house, dharamshala, inn and for industrial use but includes– (i) garden, garage or closed parking area, vacant land, grounds and out-houses, if any, appertaining to such building or part of the building;",section,5,Model-Tenancy-Act-English-02_06_2021.pdf
(f) “property manager” means a person or any legal entity including rental agent who is authorised by the landlord to manage the premises and who represents the landlord in his dealings with the tenant;,section,5,Model-Tenancy-Act-English-02_06_2021.pdf
