question,answer,source
Simplify this clause,Eviction and recovery of possession of premises in case of death of landlord.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) It extends to the whole of the State/Union territory of (Name of State/Union territory): (3) It shall come into force on such date as the State Government/Union territory Administration may, by notification in the Official Gazette, appoint and different dates may be appointed for different provisions of this Act.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(a) “landlord”, whether called landowner or lessor or by any other name, means a person who receives or is entitled to receive, the rent of any premises, on his own account, if the premises were let to a tenant, and shall include –– (i) his successor-in-interest; and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract; (b) “local authority” means a Village Panchayat or Panchayat Samiti or Zila Parishad or a Municipal Corporation or a Municipal Council or a Nagar Panchayat or a Planning or Development Authority, by whatever name called, or the Cantonment Board, or as the case may 41 of be, a civil area committee appointed under section 47 of the 2006.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"expressions shall be construed accordingly; (d) “premises” means any building or part of a building which is, or is intended to be, let on rent for the purpose of residencial or commercial use except for hotel, lodging house, dharamshala, inn and for industrial use but includes– (i) garden, garage or closed parking area, vacant land, grounds and out-houses, if any, appertaining to such building or part of the building; and (ii) any fitting to such building or part of the building for the more beneficial enjoyment thereof; (e) “prescribed” means prescribed by rules made by the State Government / Union territory Administration under this Act; (f) “property manager” means a person or any legal entity including rental agent who is authorised by the landlord to manage the premises and who represents the landlord in his dealings with the tenant; (g) “rental agent” means any person, who negotiates or acts on behalf of landlord or tenant or both in a transaction of renting of any premises and receives remuneration or fees or any other charges for his services whether as a commission or otherwise and includes a person who introduces, through any medium, prospective landlord and tenant to each other for negotiation for renting of premises and includes property dealers, brokers or middlemen, by whatever name called; (h) “Rent Authority” means an officer appointed under section 30; (i) “Rent Court” means a Rent Court constituted under section 33; (j) “Rent payable” in relation to any premises means the rent as specified in section 8; (k) “Rent Tribunal” means a Rent Tribunal constituted under section 34; (l) “Schedule” means a schedule annexed to this Act; (m) “Sub-tenant” means a person to whom the tenant sublets whole or part of the premises held by him or transfers or assigns his rights accrued under the tenancy agreement or any part thereof upon entering into a supplementary agreement to the existing tenancy agreement; (n) “Tenant”, whether called lessee or by any other name, means a person by whom or on whose account or on behalf of whom, the rent of any premises is payable to the landlord under a tenancy agreement and includes any person occupying the premises as a sub-tenant and also, any person continuing in possession after the termination of his tenancy whether before or after the commencement of this Act; but shall not include any person against whom any order or decree for eviction has been made.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,(1) Nothing in this Act shall apply to any–– Act not to apply to (a) premises owned or promoted by the Central Government or State certain Government or Union territory Administration or local authority or a premises.,PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"Government undertaking or enterprise or a statutory body or Cantonment Board; (b) premises owned by a company, University or organisation given on rent to its employees as part of service contract; (c) premises owned by religious or charitable institutions as may be specified, by notification by the State Government/Union territory Administration; 43 of (d) premises owned by auqaf registered under the Waqf Act, 1995 or 1995 by any trust registered under the public trust law of the State/Union territory for the time being in force; (e) other building or category of buildings specifically exempted in public interest by notification by the State Government/Union territory Administration.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"(2) Notwithstanding anything contained in sub-section (1), if the owner and tenant of the premises referred to in clause (a) to clause (e) of the said sub-section agrees that the tenancy agreement entered into between such landlord and tenant be regulated under the provisions of this Act, such landlord may inform the Rent Authority of the agreement to do so at the time of information of the tenancy agreement under section 4.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
Simplify this clause,"f this Act, let or take on rent any premises except by an agreement in writing, which shall be informed to the Rent Authority by the landlord and tenant jointly, in the form specified in the First Schedule within a period of two months from the date of tenancy agreement.",PDF:Model-Tenancy-Act-English-02_06_2021.pdf
