answer,section,page,source_pdf,question,clean
Eviction and recovery of possession of premises in case of death of landlord.,Unknown,2,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.",Unknown,3,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.",Unknown,4,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract;",Unknown,4,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
and (ii) any fitting to such building or part of the building for the more beneficial enjoyment thereof;,Unknown,5,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
but shall not include any person against whom any order or decree for eviction has been made.,Unknown,5,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"43 of (d) premises owned by auqaf registered under the Waqf Act, 1995 or 1995 by any trust registered under the public trust law of the State/Union territory for the time being in force;",Unknown,6,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"Provided that notwithstanding anything contained in this section, if the term of tenancy expires at a time when the locality where the premises let out on rent is situated is affected by any disastrous event of force majeure, then, subject to requisition by the tenant, the landlord shall allow the tenant to continue in possession of the said premises till a period of one month from the date of cessation of such disastrous event on the same terms and conditions of the tenancy agreement already entered into.",Unknown,7,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"Explanation.–– For the purposes of this section, “force majeure” means a situation of war, flood, drought, fire, cyclone, earthquake or any other calamity caused by nature affecting the habitation of the tenant in the premises let out on rent.",Unknown,7,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"The terms of agreement executed between landlord and tenant, Rights and obligations of shall be binding upon their successors in the event of the death of successor in the landlord or tenant, as the case may be, and in such case, the case of death.",Unknown,7,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
rights and obligations as agreed to in the tenancy agreement for the remaining period of such tenancy.,Unknown,8,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"by entering into a supplementary agreement to the existing tenancy agreement, (a) sub-let whole or part of the premises held by him as a tenant;",Unknown,8,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
The rent payable in respect of a premises shall be the rent agreed Rent payable.,Unknown,8,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
to between the landlord and the tenant in accordance with the terms of the tenancy agreement.,Unknown,8,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"In case of any dispute between landlord and tenant regarding Rent Authority to determine the revision of rent, the Rent Authority may, on an application made by revised rent in the landlord or tenant, determine the revised rent and other charges case of dispute.",Unknown,8,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"and (b) not exceed six months rent, in case of non-residential premises.",Unknown,9,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"The tenancy agreement shall be signed in duplicate by both the Original tenancy agreement to be landlord and tenant, and one each of such original signed tenancy retained by agreement shall be retained by the landlord and tenant.",Unknown,9,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"charges shall be paid to the landlord by postal money order or any other method, in such manner as may be prescribed, consecutively for two months, and if the landlord refuses to accept the rent and other charges within such period, then the tenant may deposit the same with the Rent Authority in such manner as may be prescribed.",Unknown,9,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"under sub-section (1) or sub-section (2), shall not by itself operate as an admission against the landlord or any other claim made by the tenant, if the landlord withdraws it to the extent of rent agreed upon under the tenancy agreement.",Unknown,10,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"fails to carry out the required repairs to make it inhabitable or the said premises could not be made inhabitable, then, the security deposit and advance rent shall be refunded by the landlord to the tenant within a period of fifteen days of the expiry of the notice period, after making due deduction of liability of the tenant, if any.",Unknown,11,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"During the subsistence of tenancy, the tenant shall –– Tenant to look after premises.",Unknown,11,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"electronic mode, to the tenant at least twenty four hours before the time of entry under the following circumstances, namely:–– (a) to carry out repairs or replacement or to do or to get work done in the premises;",Unknown,11,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
or (b) to carry out an inspection of the premises for the purpose of determining whether the premises are in a habitable state;,Unknown,11,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
or (c) for any other reasonable cause for entry specified in the tenancy agreement.,Unknown,11,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"Provided further that nothing contained in this section shall prevent the landlord from entering into the premises let out on rent without prior notice to the tenant in case of emergent situations like war, flood, fire, cyclone, earthquake or any other natural calamity, which may affect that premises.",Unknown,11,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"and (d) if the property manager is a legal entity, the name of the entity and the person authorised in this behalf by that legal entity who may be contacted in relation to the tenancy agreement.",Unknown,12,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
and consequences (b) to do essential repairs on behalf of the landlord;,Unknown,12,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"restoration of supply of essential services immediately on service of such order upon the landlord or property manager, as the case may be, pending the inquiry referred to in sub-section (3).",Unknown,13,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"Explanation.–– For the purposes of this clause, “misuse of premises” means encroachment of additional space by the tenant or use of premises which causes public nuisance or causes damage to the property or is detrimental to the interest of the landlord or for immoral or illegal purposes;",Unknown,14,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
and (ii) in cases where the tenant has been evicted under the orders of a Rent Court;,Unknown,14,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"Explanation.–– For the purposes of this clause, the expression “competent authority” means the Municipal Corporation or the Municipality or the Development Authority or any other authority, as the case may be, which provides permission on matters relating to repair or redevelopment or demolition of building or permission for change in land use: (g) that the tenant has given written notice to vacate the premises let out on rent and in consequence of that notice the landlord has contracted to sell the said premises or has taken any other step, as a result of which his interests would seriously suffer if he is not put in possession of that premises;",Unknown,14,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
Where the tenant fails to vacate the premises let out on rent in Enhancement of rent in case of accordance with the tenancy agreement on the expiration of the refusal by tenant period of tenancy or termination of tenancy by an order or notice to vacate.,Unknown,15,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"under the provisions of this Act, such tenant shall be liable to pay the landlord –– (a) twice the monthly rent for the first two months;",Unknown,15,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
and (b) four times the monthly rent thereafter till the tenant continues to occupy the said premises.,Unknown,15,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"and he had received any rent or any other payment in advance from the tenant, he shall before recovery of possession, refund to the tenant such amount after deducting the rent and other charges due to him.",Unknown,15,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
simple interest to the tenant at such rate as may be prescribed from time to time on the amount which he has omitted or failed to refund.,Unknown,16,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
In any proceedings for recovery of possession on any ground Payment of rent during eviction other than that referred to in clause (a) or clause (b) of sub-section proceedings.,Unknown,16,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
Provided further that it shall be the responsibility of the tenant to remove any such additional structure built by tenant without consent of landlord.,Unknown,16,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"Notwithstanding anything contained in any other law for the time Vacant possession to being in force, where the interest, of a landlord or in case of death of landlord.",Unknown,17,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"the landlord, of his legal heirs in any premises is determined for any reason whatsoever and any order is made by the Rent Court under this Act for the recovery of possession of such premises, such order shall, subject to the provisions of sub-section (3) of section 21, be binding on all occupants who may be in occupation of the premises and vacant possession thereof shall be given by all such occupants to the landlord or to the legal heirs of the landlord.",Unknown,17,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"Notwithstanding anything contained in this Act or any other law Provisions regarding notice for the time being in force, a tenant may give up possession of the of giving up premises on giving such written notice as is required under the possession by tenancy agreement and in the absence of any stipulation relating to tenant.",Unknown,17,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"such notice, the tenant shall give notice to the landlord of at least one month before giving up possession of the premises.",Unknown,17,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"previous approval of the State Government/Union territory Administration, appoint an officer, not below the rank of Deputy Collector, to be the Rent Authority within his jurisdiction.",Unknown,17,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
Rent Court under this Act in respect of any proceedings initiated procedure of Rent Authority.,Unknown,18,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"The District Collector or District Magistrate shall, with the previous approval of the State Government/ Union territory Rent Court Administration, appoint Additional Collector or Additional District Magistrate or an officer of equivalent rank, to be the Rent Court for the purposes of this Act, within his jurisdiction.",Unknown,18,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"The State Government/ Union territory Administration may, in consultation with the jurisdictional High Court, may by notification, Rent Tribunal appoint District Judge or Additional District Judge as Rent Tribunal in each district.",Unknown,18,Model-Tenancy-Act-English-02_06_2021.pdf,Summarize this legal clause.,True
"following manner, namely:–– (a) the landlord or the tenant may file an application or appeal before the Rent Court or, as the case may be, the Rent Tribunal accompanied by affidavit and documents, if any;",Unknown,18,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"5 of (4) The provisions of the Code of Civil Procedure, 1908 regarding 1908 service of summons shall be applicable mutatis mutandis for service of notice by the Rent Court or Rent Tribunal.",Unknown,19,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"1974 (3) For the purposes of holding any inquiry or discharging any duty under this Act, the Rent Court may,–– (a) after giving not less than twenty-four hours notice in writing, enter and inspect or authorise any officer, subordinate to it, to enter and inspect, any premises at any time between sunrise and sunset;",Unknown,20,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"Rent Court as a decree of a civil court and for this purpose, the Rent Court shall have the powers of a civil court.",Unknown,21,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"jurisdictional Rent Tribunal within the local limits of which the premises is situated, within a period of thirty days from the date of that order.",Unknown,21,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
or (b) attaching one or more bank accounts of the opposite party for the purpose of recovering the amount specified in such order;,Unknown,22,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
or (c) appointing any advocate or any other competent person including officers of the Rent Court or local administration or local body for the execution of such order.,Unknown,22,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"The State Government/Union territory Administration may, in Officers and consultation with the Rent Authority or Rent Court or Rent Tribunal, other employees determine the nature and categories of officers and other employees of Rent Authority, as it considers necessary and appoint such officers and other Rent Court and Rent Tribunal.",Unknown,22,Model-Tenancy-Act-English-02_06_2021.pdf,Simplify this tenancy law provision.,True
"1870 respect of applications or appeals to be presented before the Rent Authority or Rent Court or Rent Tribunal, as the case may be.",Unknown,23,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
"Every member of Rent Authority, Rent Court and Rent Tribunal Members, etc., to 45 of appointed under this Act shall be deemed to be a public servant be public 1860 within the meaning of section 21 of the Indian Penal Code.",Unknown,23,Model-Tenancy-Act-English-02_06_2021.pdf,Explain this tenancy law clause.,True
"No suit, prosecution or other legal proceeding shall lie against Protection of any person, Rent Authority, Rent Court or Rent Tribunal in respect of action taken in good faith.",Unknown,23,Model-Tenancy-Act-English-02_06_2021.pdf,What does this clause mean in simple terms?,True
