instruction,input,output,section,source
Simplify the following tenancy law provision.,Eviction and recovery of possession of premises in case of death of landlord.,Eviction and recovery of possession of premises in case of death of landlord.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,Eviction and recovery of possession of premises in case of death of landlord.,Eviction and recovery of possession of premises in case of death of landlord.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,Eviction and recovery of possession of premises in case of death of landlord.,tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Simplify the following tenancy law provision.,"Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.","Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.","Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"Officers and other employees of Rent Authority, Rent Court and Rent Tribunal.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Explain the following tenancy law clause in simple terms.,"THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.","THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Summarize the following tenancy law clause.,"THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.","THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"THE MODEL TENANCY ACT, 2021 An Act to establish Rent Authority to regulate renting of premises and to protect the interests of landlords and tenants and to provide speedy adjudication mechanism for resolution of disputes and matters connected therewith or incidental thereto.",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,"and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract;","and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Provide a short summary of this legal provision.,"and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract;","and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract;",Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Identify the legal topic of the following clause.,"and (ii) a trustee or guardian or receiver receiving rent for any premises or is entitled to so receive, on account of or on behalf of or for the benefit of, any other person such as minor or person of unsound mind who cannot enter into a contract;",tenancy law,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
Interpret this legal clause related to tenancy law.,but shall not include any person against whom any order or decree for eviction has been made.,but shall not include any person against whom any order or decree for eviction has been made.,Unknown,Model-Tenancy-Act-English-02_06_2021.pdf
